month,T,Td,P,wind
1,-9.854343261787886,-17.498183024136395,1027.9253549987022,1.9187067085380693
2,-5.296418017923191,-14.65694141042665,1025.054759726691,2.2868927450131973
3,3.656124599901175,-8.097739589711356,1019.2861964101227,2.695468687792078
4,11.208885622358398,-2.877317362389739,1013.8213770761702,2.9997646886309837
5,18.40162824832354,6.101405826217376,1007.9974124861501,3.043034021748821
6,22.581213325941462,14.29566171046558,1005.1583104858416,2.339246673522621
7,26.01946888575092,19.738317007436116,1005.2358650068803,2.09385321503686
8,24.367003095078132,19.44854606348872,1006.5385578952157,1.9326422285892488
9,18.724176405316086,12.248290175083673,1013.3029533333304,2.043598821977559
10,10.02259563530295,1.2851905825981467,1020.5026589797935,2.3793210329612933
11,0.8178762023650641,-7.557005531261796,1025.1134780929385,2.370477708764069
12,-7.063523484976071,-14.531661388818716,1027.7329408463504,2.019298074291609
